Racial / Ethnic Profile of counties in California (2020 Census),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
"Following is a table of counties in California by race/ethnicity. The majority racial/ethnic group is coded per the key below. Majority minority with no dominant group Majority White Majority Black Majority Hispanic Majority Asian Majority Native American Racial and ethnic composition of counties in California (2020 Census)[12] (NH = Non-Hispanic) Note: the US Census treats Hispanic/Latino as an ethnic category. This table excludes Latinos from the racial categories and assigns them to a separate category. Hispanics/Latinos may be of any race. County Location of County Total Population White alone (NH) % Black or African American alone (NH) % Native American or Alaska Native alone (NH) % Asian alone (NH) % Pacific Islander alone (NH) % Other race alone (NH) % Mixed race or Multiracial (NH) % Hispanic or Latino (any race) % Alameda 1,682,353 472,277 28.07% 159,499 9.48% 4,131 0.25% 540,511 32.13% 13,209 0.79% 10,440 0.62% 88,537 5.26% 393,749 23.40% Alpine 1,204 801 66.53% 10 0.83% 214 17.77% 12 1.00% 0 0.00% 7 0.58% 76 6.31% 84 6.98% Amador 40,474 29,725 73.44% 1,215 3.00% 577 1.43% 554 1.37% 73 0.18% 249 0.62% 2,067 5.11% 6,014 14.86% Butte 211,632 139,651 65.99% 3,320 1.57% 3,050 1.44% 10,333 4.88% 508 0.24% 1,184 0.56% 13,474 6.37% 40,112 18.95% Calaveras 45,292 34,668 76.54% 334 0.74% 497 1.10% 706 1.56% 75 0.17% 268 0.59% 2,879 6.36% 5,865 12.95% Colusa 21,839 6,941 31.78% 182 0.83% 280 1.28% 252 1.15% 70 0.32% 92 0.42% 546 2.50% 13,476 61.71% Contra Costa 1,165,927 455,421 39.06% 97,994 8.40% 2,553 0.22% 214,520 18.40% 5,720 0.49% 8,366 0.72% 66,453 5.70% 314,900 27.01% Del Norte 27,743 16,262 58.62% 841 3.03% 2,136 7.70% 826 2.98% 28 0.10% 122 0.44% 2,207 7.96% 5,321 19.18% El Dorado 191,185 140,141 73.30% 1,436 0.75% 1,273 0.67% 9,024 4.72% 276 0.14% 1,215 0.64% 11,361 5.94% 26,459 13.84% Fresno 1,008,654 271,889 26.96% 44,295 4.39% 6,074 0.60% 109,665 10.87% 1,233 0.12% 5,209 0.52% 29,546 2.93% 540,743 53.61% Glenn 28,917 13,897 48.06% 140 0.48% 531 1.84% 626 2.16% 39 0.13% 144 0.50% 999 3.45% 12,541 43.37% Humboldt 136,463 93,316 68.38% 1,729 1.27% 7,454 5.46% 3,495 2.56% 436 0.32% 1,091 0.80% 10,407 7.63% 18,535 13.58% Imperial 179,702 16,813 9.36% 3,846 2.14% 1,584 0.88% 2,244 1.25% 82 0.05% 519 0.29% 1,587 0.88% 153,027 85.16% Inyo 19,016 11,035 58.03% 85 0.45% 2,189 11.51% 273 1.44% 13 0.07% 87 0.46% 935 4.92% 4,399 23.13% Kern 909,235 279,600 30.75% 46,776 5.14% 5,197 0.57% 44,257 4.87% 1,127 0.12% 4,557 0.50% 28,563 3.14% 499,158 54.90% Kings 152,486 44,361 29.09% 8,300 5.44% 1,690 1.11% 5,511 3.61% 331 0.22% 713 0.47% 4,973 3.26% 86,607 56.80% Lake 68,163 44,202 64.85% 1,158 1.70% 1,737 2.55% 940 1.38% 89 0.13% 386 0.57% 4,209 6.17% 15,442 22.65% Lassen 32,730 19,534 59.68% 2,244 6.86% 939 2.87% 472 1.44% 283 0.86% 142 0.43% 1,585 4.84% 7,531 23.01% Los Angeles 10,014,009 2,563,609 25.60% 760,689 7.60% 18,453 0.18% 1,474,237 14.72% 20,522 0.20% 58,683 0.59% 313,053 3.13% 4,804,763 47.98% Madera 156,255 48,399 30.97% 4,131 2.64% 1,738 1.11% 3,581 2.29% 122 0.08% 723 0.46% 4,383 2.81% 93,178 59.63% Marin 262,321 173,149 66.01% 6,120 2.33% 555 0.21% 16,175 6.17% 457 0.17% 2,040 0.78% 14,415 5.50% 49,410 18.84% Mariposa 17,131 12,838 74.94% 105 0.61% 410 2.39% 287 1.68% 15 0.09% 114 0.67% 1,222 7.13% 2,140 12.49% Mendocino 91,601 56,205 61.36% 607 0.66% 3,528 3.85% 1,730 1.89% 110 0.12% 592 0.65% 4,896 5.34% 23,933 26.13% Merced 281,202 68,729 24.44% 8,191 2.91% 1,164 0.41% 19,824 7.05% 617 0.22% 1,242 0.44% 7,578 2.69% 173,857 61.83% Modoc 8,700 6,446 74.09% 66 0.76% 387 4.45% 61 0.70% 13 0.15% 56 0.64% 412 4.74% 1,259 14.47% Mono 13,195 8,679 65.77% 68 0.52% 177 1.34% 159 1.21% 26 0.20% 78 0.59% 501 3.80% 3,507 26.58% Monterey 439,035 120,077 27.35% 9,051 2.06% 1,314 0.30% 25,123 5.72% 1,859 0.42% 2,170 0.49% 14,120 3.22% 265,321 60.43% Napa 138,019 68,909 49.93% 2,300 1.67% 507 0.37% 10,520 7.62% 316 0.23% 910 0.66% 5,728 4.15% 48,829 35.38% Nevada 102,241 82,810 80.99% 416 0.41% 695 0.68% 1,371 1.34% 119 0.12% 617 0.60% 5,797 5.67% 10,416 10.19% Orange 3,186,989 1,198,655 37.61% 49,304 1.55% 5,298 0.17% 699,124 21.94% 7,714 0.24% 14,818 0.46% 125,242 3.93% 1,086,834 34.10% Placer 404,739 272,471 67.32% 6,440 1.59% 2,010 0.50% 34,776 8.59% 967 0.24% 2,091 0.52% 25,356 6.26% 60,628 14.98% Plumas 19,790 15,999 80.84% 102 0.52% 382 1.93% 145 0.73% 40 0.20% 114 0.58% 1,111 5.61% 1,897 9.59% Riverside 2,418,185 788,235 32.60% 146,762 6.07% 11,960 0.49% 164,889 6.82% 6,767 0.28% 12,365 0.51% 84,912 3.51% 1,202,295 49.72% Sacramento 1,585,055 650,271 41.03% 145,724 9.19% 7,432 0.47% 276,295 17.43% 18,011 1.14% 10,104 0.64% 102,784 6.48% 374,434 23.62% San Benito 64,209 19,875 30.95% 479 0.75% 221 0.34% 2,189 3.41% 127 0.20% 332 0.52% 1,835 2.86% 39,241 61.11% San Bernardino 2,181,654 566,113 25.95% 173,322 7.94% 8,412 0.39% 176,204 8.08% 6,173 0.28% 12,117 0.56% 68,400 3.14% 1,170,913 53.67% San Diego 3,298,634 1,422,205 43.11% 145,014 4.40% 12,841 0.39% 400,589 12.14% 12,991 0.39% 18,125 0.55% 167,240 5.07% 1,119,629 33.94% San Francisco 873,965 341,306 39.05% 45,071 5.16% 1,570 0.18% 294,220 33.66% 3,244 0.37% 6,347 0.73% 45,446 5.20% 136,761 15.65% San Joaquin 779,233 215,530 27.66% 56,898 7.30% 3,135 0.40% 134,684 17.28% 4,977 0.64% 4,192 0.54% 34,092 4.38% 325,725 41.80% San Luis Obispo 282,424 183,468 64.96% 4,330 1.53% 1,136 0.40% 10,001 3.54% 340 0.12% 1,614 0.57% 13,614 4.82% 67,921 24.05% San Mateo 764,442 275,902 36.09% 14,701 1.92% 1,021 0.13% 227,783 29.80% 8,840 1.16% 5,840 0.76% 38,969 5.10% 191,386 25.04% Santa Barbara 448,229 184,746 41.22% 6,467 1.44% 1,731 0.39% 25,378 5.66% 542 0.12% 2,378 0.53% 16,403 3.66% 210,584 46.98% Santa Clara 1,936,259 555,708 28.70% 42,148 2.18% 3,240 0.17% 753,399 38.91% 5,945 0.31% 10,195 0.53% 78,267 4.04% 487,357 25.17% Santa Cruz 270,861 145,551 53.74% 2,850 1.05% 853 0.31% 12,072 4.46% 277 0.10% 1,649 0.61% 13,310 4.91% 94,299 34.81% Shasta 182,155 136,894 75.15% 1,761 0.97% 4,047 2.22% 5,839 3.21% 323 0.18% 1,037 0.57% 12,524 6.88% 19,730 10.83% Sierra 3,236 2,615 80.81% 7 0.22% 18 0.56% 7 0.22% 1 0.03% 25 0.77% 186 5.75% 377 11.65% Siskiyou 44,076 32,057 72.73% 471 1.07% 1,757 3.99% 866 1.96% 38 0.09% 265 0.60% 3,095 7.02% 5,527 12.54% Solano 453,491 155,125 34.21% 60,051 13.24% 1,624 0.36% 70,953 15.65% 3,775 0.83% 2,988 0.66% 30,820 6.80% 128,155 28.26% Sonoma 488,863 285,792 58.46% 7,125 1.46% 3,053 0.62% 22,239 4.55% 1,708 0.35% 2,909 0.60% 24,599 5.03% 141,438 28.93% Stanislaus 552,878 207,908 37.60% 14,302 2.59% 2,621 0.47% 33,169 6.00% 3,713 0.67% 2,734 0.49% 22,453 4.06% 265,978 48.11% Sutter 99,633 41,366 41.52% 1,774 1.78% 862 0.87% 18,014 18.08% 279 0.28% 611 0.61% 5,159 5.18% 31,568 31.68% Tehama 65,829 41,340 62.80% 391 0.59% 1,167 1.77% 985 1.50% 96 0.15% 324 0.49% 3,588 5.45% 17,938 27.25% Trinity 16,112 11,374 70.59% 66 0.41% 416 2.58% 2,212 13.73% 24 0.15% 106 0.66% 977 6.06% 937 5.82% Tulare 473,117 125,022 26.43% 5,332 1.13% 3,458 0.73% 15,997 3.38% 511 0.11% 2,132 0.45% 10,770 2.28% 309,895 65.50% Tuolumne 55,620 42,254 75.97% 989 1.78% 784 1.41% 770 1.38% 110 0.20% 313 0.56% 3,276 5.89% 7,124 12.81% Ventura 843,843 360,850 42.76% 13,704 1.62% 2,020 0.24% 63,852 7.57% 1,415 0.17% 4,451 0.53% 32,866 3.89% 365,285 43.29% Yolo 216,403 93,911 43.40% 5,722 2.64% 948 0.44% 29,872 13.80% 1,079 0.50% 1,278 0.59% 11,893 5.50% 71,700 33.13% Yuba 81,575 41,750 51.18% 2,831 3.47% 1,034 1.27% 5,583 6.84% 372 0.46% 459 0.56% 6,026 7.39% 23,520 28.83%",,,,,,,,,,,,,,,,,,
,Majority minority with no dominant group,,,,,,,,,,,,,,,,,
,Majority White,,,,,,,,,,,,,,,,,
,Majority Black,,,,,,,,,,,,,,,,,
,Majority Hispanic,,,,,,,,,,,,,,,,,
,Majority Asian,,,,,,,,,,,,,,,,,
,Majority Native American,,,,,,,,,,,,,,,,,
County,Location of County,Total Population,White alone (NH),%,Black or African American alone (NH),%,Native American or Alaska Native alone (NH),%,Asian alone (NH),%,Pacific Islander alone (NH),%,Other race alone (NH),%,Mixed race or Multiracial (NH),%,Hispanic or Latino (any race),%
,,,,,,,,,,,,,,,,,,
Alameda,,1682353,472277,28.07%,159499,9.48%,4131,0.25%,540511,32.13%,13209,0.79%,10440,0.62%,88537,5.26%,393749,23.40%
